id,name,percent,species_id:id,group_id:id
2103,Fabbricati destinati all'industria 6% ,,456,18
2104,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,456,18
2105,"Impianti radiofonici 12,5% ",,456,18
2106,"Impianti di sincronizzazione e centri di controllo 15,5% ",,456,18
2107,Impianti di telediffussione e di televisione 19% ,,456,18
2108,Impianti di registrazione e ponti radio 25% ,,456,18
2109,Cavi sottomarini 12% ,,456,18
2110,Dotazioni vari ed attrezzi 19% ,,456,18
2111,Mobili e macchine ordinarie d'ufficio 12% ,,456,18
2112,Automezzi attrezzati 25% ,,456,18
2113,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,456,18
2114,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,456,18
2115,"Autovetture, motoveicoli e simili 25% ",,456,18
2116,Segmento spaziale:,,457,18
2117,Satelliti commerciali di telecomunicazioni e relativi centri di controllo 18% ,,457,18
2118,Trasponditori 36% ,,457,18
2119,Stazioni terrene:,,457,18
2120,Struttura antenna parabolica orientabile 10% ,,457,18
2121,"Servosistema, sistema di illuminazione, ricevitore di inseguimento 20% ",,457,18
2122,Impianti ricetrasmittenti e impianti e strumentazione centrali di misura e controllo25% ,,457,18
2123,Impianto di alimentazione 10% ,,457,18
2124,Terminali parabolici rice-trasmissivi di limitate dimensioni 20% ,,457,18
2125,Stazioni terrene mobili 25% ,,457,18
2126,Terreni adibiti ad autostrada 1% ,,458,18
2127,Fabbricati destinati all'industria 4% ,,458,18
2128,Costruzioni leggere 10% ,,458,18
2129,"Opere d'arte fisse (viadotti, ponti, gallerie, corpo autostradale, ecc)4% ",,458,18
2130,"Altre opere d'arte (apparecchi di segnalazione, compressori, martelli pneumatici, semoventi, pale meccaniche)25% ",,458,18
2131,Officine meccaniche 10% ,,458,18
2132,Attrezzatura varia e minuta 12% ,,458,18
2133,Mobili e macchine ordinarie d'ufficio 12% ,,458,18
2134,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,458,18
2135,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,458,18
2136,"Autovetture, motoveicoli e simili 25% ",,458,18
2137,Edifici 3% ,,,19
2138,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,,19
2139,Mobili e arredamento 10% ,,,19
2140,Biancheria40% ,,,19
2141,"Attrezzatura (stoviglie, posate, attrezzatura di cucina, ecc) 25% ",,,19
2142,"Impianti generici (riscaldamento, condizionamento) 8% ",,,19
2143,"Impianti specifici (igienici, cucina, frigorifero, ascensori, montacarichi, impianti telefonici, citofoni, campanelli e simili) 12% ",,,19
2144,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,,19
2145,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,,19
2146,"Autovetture, motoveicoli e simili 25% ",,,19
2147,Edifici 3% ,,459,20
2148,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,459,20
2149,Impianti termotecnici ed elettrici10% ,,459,20
2150,"Attrezzature (poltrone, ecc) 15,5% ",,459,20
2151,Macchinari di proiezione ed impianto sonoro19% ,,459,20
