id,code,name
309,265200,Fabbricazione di orologi
310,266001,Fabbricazione di apparecchiature di irradiazione per alimenti e latte
311,266002,Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori)
312,266009,Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche
313,267011,Fabbricazione di elementi ottici e strumenti ottici di precisione
314,267012,Fabbricazione di attrezzature ottiche di misurazione e controllo
315,267020,Fabbricazione di apparecchiature fotografiche e cinematografiche
316,268000,Fabbricazione di supporti magnetici ed ottici
317,271100,"Fabbricazione di motori, generatori e trasformatori elettrici"
318,271200,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
319,272000,Fabbricazione di batterie di pile ed accumulatori elettrici
320,273101,Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini
321,273102,Fabbricazione di fibre ottiche
322,273200,Fabbricazione di altri fili e cavi elettrici ed elettronici
323,273301,Fabbricazione di apparecchiature in plastica non conduttiva
324,273309,Fabbricazione di altre attrezzature per cablaggio
325,274001,Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto
326,274009,Fabbricazione di altre apparecchiature per illuminazione
327,275100,Fabbricazione di elettrodomestici
328,275200,Fabbricazione di apparecchi per uso domestico non elettrici
329,279001,Fabbricazione di apparecchiature elettriche per saldature e brasature
330,279002,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione
331,279003,"Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori"
332,279009,Fabbricazione di altre apparecchiature elettriche nca
333,281111,Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili)
334,281112,"Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna"
335,281120,Fabbricazione di turbine e turboalternatori (incluse parti e accessori)
336,281200,Fabbricazione di apparecchiature fluidodinamiche
337,281300,Fabbricazione di altre pompe e compressori
338,281400,Fabbricazione di altri rubinetti e valvole
339,281510,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)"
340,281520,Fabbricazione di cuscinetti a sfere
341,282110,"Fabbricazione di forni, fornaci e bruciatori"
342,282121,Fabbricazione di caldaie per riscaldamento
343,282129,Fabbricazione di altri sistemi per riscaldamento
344,282201,"Fabbricazione di ascensori, montacarichi e scale mobili"
345,282202,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli"
346,282203,Fabbricazione di carriole
347,282209,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione
348,282301,Fabbricazione di cartucce toner
349,282309,Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche)
350,282400,Fabbricazione di utensili portatili a motore
351,282500,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
