no_import,default_code,supplier_product_code,COD.ART.PROD.,name,GIAC.,GIAC.MIN.,IMP.,ORD.,PREAS.,U.M.,PRZ.LISTINO,SC. L.1,SC. L.2,SC. L.3,supplier_cost,ALTRI FORN.,RIC. 1,price,IVA,supplier_name,GRUPPO MERCEOLOGICO,MARCA,COD.SC.PROD.,SIGLA PROD.,COD.PROD.,PRODUTTORE,POS.MAG.,MOV.,COD.REP.,REPARTO,COD.SET.,SETTORE,COD.FAM.,FAMIGLIA,LINEA,COD.BARRE,COD.RAGGRUP.,E.C.,DATA INS
,5431,1072808000,,"FILTRO DEPURATORE A Y RBM 858.08 1""1/2",0,0,0,0,0,N.,"12,5",0,0,0,"12,5",,30,"16,25",22,SACCARIA IDROTERMOSANITARI SRL,,,0,,0,,,S,,,,,,,,,,,02/10/2013
,1531,1072805000,,FILTRO DEPURATORE Y RBM 858.05,0,0,0,0,0,N.,"2,97",0,0,0,"2,97",,30,"3,861",22,SACCARIA IDROTERMOSANITARI SRL,,,0,,0,,,S,,,,,,,,,,,08/08/2011
,1532,1072806000,,FILTRO DEPURATORE Y RBM 858.06,0,0,0,0,0,N.,"4,19",0,0,0,"4,19",,30,"5,447",22,SACCARIA IDROTERMOSANITARI SRL,,,0,,0,,,S,,,,,,,,,,,08/08/2011
,3225,596998,,FILTRO DISABBIATORE AUTOP. 3/4,0,0,0,0,0,N.,"114,8",0,0,0,"114,8",,30,"149,24",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,21/03/2012
,2236,,,FILTRO G40 287X592X48,0,0,0,0,0,N.,"4,53",0,0,0,"4,53",,30,"5,889",22,ACFI,,,0,,0,,,S,,,,,,,,,,,17/10/2011
,2218,,,FILTRO G40 360X690X48,0,0,0,0,0,N.,"6,68",0,0,0,"6,68",,"31,74","8,8",22,ACFI,,,0,,0,,,S,,,,,,,,,,,12/10/2011
,2176,,,FILTRO G40 400X500X48,0,0,0,0,0,N.,"4,77",0,0,0,"4,77",,30,"6,201",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/10/2011
,2372,,,FILTRO G40 400X590X48,0,0,0,0,0,N.,"7,69",0,0,0,"7,69",,30,"9,997",22,ACFI,,,0,,0,,,S,,,,,,,,,,,03/11/2011
,2210,,,FILTRO G40 400X625X100,0,0,0,0,0,N.,"8,06",0,0,0,"8,06",,30,"10,478",22,ACFI,,,0,,0,,,S,,,,,,,,,,,12/10/2011
,2120,CFW40400X625X48,,FILTRO G40 400X625X48,0,0,0,0,0,N.,"5,12",0,0,0,"5,12",,30,"6,656",22,ACFI,,,0,,0,,,S,,,,,,,,,,,26/09/2011
,3878,,,FILTRO G40 490X590X100,0,0,0,0,0,N.,7,"-61,43",0,0,"11,3",,30,"14,69",22,ACFI,,,0,,0,,,S,,,,,,,,,,,26/06/2012
,2216,,,FILTRO G40 490X590X48,0,0,0,0,0,N.,"8,37","-1,14",0,0,"8,465",,30,"11,0045",22,ACFI,,,0,,0,,,S,,,,,,,,,,,12/10/2011
,2175,,,FILTRO G40 500X500X48,0,0,0,0,0,N.,"5,4",0,0,0,"5,4",,30,"7,02",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/10/2011
,3905,,,FILTRO G40 500X590X48,0,0,0,0,0,N.,"8,65",0,0,0,"8,65",,30,"11,245",22,ACFI,,,0,,0,,,S,,,,,,,,,,,29/06/2012
,2201,,,FILTRO G40 500X625X48,0,0,0,0,0,N.,"6,02",0,0,0,"6,02",,30,"7,826",22,ACFI,,,0,,0,,,S,,,,,,,,,,,11/10/2011
,2215,,,FILTRO G40 500X625X48,0,0,0,0,0,N.,"5,42",0,0,0,"5,42",,"32,84","7,2",22,ACFI,,,0,,0,,,S,,,,,,,,,,,12/10/2011
,2200,,,FILTRO G40 525X810X100,0,0,0,0,0,N.,"17,76",0,0,0,"17,76",,30,"23,088",22,ACFI,,,0,,0,,,S,,,,,,,,,,,11/10/2011
,119,CFW40,,FILTRO G40 592X592X48,0,0,0,0,0,N.,"6,75",0,0,0,"6,75",,30,"8,775",22,ACFI,,,0,,0,,,S,,,,,,,,,,,22/04/2011
,2199,,,FILTRO G40 620X635X48,0,0,0,0,0,N.,"9,27",0,0,0,"9,27",,30,"12,051",22,ACFI,,,0,,0,,,S,,,,,,,,,,,11/10/2011
,2173,,,FILTRO G40 935X1370X48,0,0,0,0,0,N.,"54,36",0,0,0,"54,36",,30,"70,668",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/10/2011
,5278,FIFY3G25P3UD80,,FILTRO GHISA DN80,0,0,0,0,0,N.,"59,4",0,0,0,"59,4",,30,"77,22",22,SILWA SRL,,,0,,0,,,S,,,,,,,,,,,23/08/2013
,1353,FF1X04P3UI6,,"FILTRO INOX 304 PER RITEGNO 1""",0,0,0,0,0,N.,"4,65",0,0,0,"4,65",,30,"6,045",22,SILWA SRL,,,0,,0,,,S,,,,,,,,,,,22/07/2011
